lat,lon,junk,capacity
45.522202,-122.989277,2010062452,1
45.506315,-122.847514,1823729257,1
45.510825,-122.684626,855188901,42
45.533735,-122.635099,-1754285068,40
45.515889,-122.656787,1705576646,4
45.516401,-122.656783,-365682377,4
45.511326,-122.811353,815120270,1
45.519509,-122.679645,1842155615,8
45.510540,-122.781356,2016230656,1
45.436867,-122.829748,1659852421,4
45.465983,-122.663508,-1573458387,1
45.541857,-122.959780,731968820,1
45.516393,-122.683103,1134133544,11
45.522601,-122.676456,-1097565769,21
45.529795,-122.663889,-1085623015,1
45.551337,-122.675367,153397895,1
45.479609,-122.567105,-2001162293,5
45.510463,-122.717768,-1747901037,1
45.510681,-122.717535,-2111724996,1
45.521765,-122.836754,1969614393,2
45.528198,-122.839237,-1583368983,2
45.518373,-122.841498,486311974,1
45.397184,-122.752428,248780269,1
45.397184,-122.751840,-1357339524,1
45.478074,-122.695131,-1039604176,1
45.431320,-122.544373,-265639704,1
45.507519,-122.796777,1303083069,1
45.584132,-122.719444,180094101,1
45.471718,-122.661189,2014325357,1
45.588079,-122.593512,-106205922,1
45.511346,-122.681785,1834545040,12
45.511527,-122.682523,878661092,1
45.511793,-122.682241,-1085955009,1
45.511870,-122.681718,-1035272577,1
45.512134,-122.682150,63466607,10
45.504048,-122.707464,-2054272735,4
45.512242,-122.643101,892589069,12
45.498782,-122.707397,937392154,2
45.493767,-122.647674,569908893,10
45.517840,-122.870431,1370364392,22
45.535768,-122.712751,-1630444231,1
45.633254,-122.613896,17431926,1
45.542836,-122.959744,86615911,1
45.543600,-122.959431,-929618826,1
45.543735,-122.964374,1898322581,1
45.543703,-122.961416,1791991802,1
45.541960,-122.963711,-817652416,1
45.541012,-122.959333,-1195308108,1
45.543663,-122.962473,-1477603819,1
45.543053,-122.963937,-703547761,1
45.524550,-122.682112,1586443404,4
45.511966,-122.611064,1277299573,1
45.512089,-122.614336,175749062,1
45.531641,-122.653493,-1842639997,1
45.531995,-122.651670,-1821957700,1
45.531999,-122.655909,-1791806724,1
45.489788,-122.596672,1824681983,1
45.571713,-122.656832,-1618901840,1
45.529755,-122.658519,-30799718,2
45.529943,-122.658405,-392215616,2
45.573780,-122.720407,1336828117,1
45.509386,-122.680906,-1503385123,14
45.532000,-122.925484,-1844179739,1
45.532287,-122.928869,473577586,1
45.531894,-122.929440,58006227,1
45.481094,-122.630425,-413029021,8
45.481101,-122.630566,-406300640,8
45.481095,-122.630161,-1589921730,8
45.480594,-122.628656,-1866383126,1
45.480957,-122.629270,1329519379,1
45.527486,-122.681191,1032628390,2
45.499651,-122.644564,1586952785,2
45.528076,-122.680878,-600506458,6
45.500665,-122.644863,-1788440233,2
45.500660,-122.644923,2026257922,2
45.527323,-122.680416,1156504987,2
45.526796,-122.679295,-748534877,2
45.525632,-122.678658,762652822,6
45.526389,-122.678680,1164490365,6
45.499403,-122.644382,-397592363,2
45.526535,-122.684449,-848600258,2
45.527260,-122.684456,1309175005,2
45.527979,-122.683957,838644215,2
45.528084,-122.683401,1487972037,2
45.528305,-122.683400,1805135758,2
45.528490,-122.683406,-1235022405,2
45.528757,-122.682820,-1964159494,4
45.497266,-122.639529,-638299456,2
45.500795,-122.644712,712417429,1
45.500848,-122.644704,-1409505173,1
45.499370,-122.645116,1260965644,1
45.499399,-122.645204,-1580627600,1
45.498954,-122.644166,-371355470,1
45.500767,-122.644706,-1090138056,1
45.498587,-122.640725,-602797244,1
45.500860,-122.652442,263393751,1
45.504910,-122.627525,479935322,4
45.523815,-122.671729,-1015432931,2
45.521707,-122.673595,-2004522465,22
45.504571,-122.627201,-747728237,2
45.504848,-122.628050,654340871,2
45.525798,-122.680062,2043504811,2
45.525912,-122.680062,2139983251,2
45.515180,-122.673341,-1707571357,10
45.528351,-122.680950,18137711,11
45.528305,-122.680949,686199087,11
45.523548,-122.683223,1754331236,8
45.516745,-122.676486,1461422825,2
45.516824,-122.676445,894364921,2
45.503280,-122.640352,-654148845,2
45.503469,-122.640349,-847034953,2
45.503434,-122.640234,1178859697,2
45.512125,-122.623756,1114669676,2
45.512128,-122.623544,-2032689020,2
45.511899,-122.624085,-986069532,4
45.503475,-122.629392,-480433294,2
45.517412,-122.672777,-1512408599,2
45.504739,-122.627131,-37560491,2
45.504737,-122.627071,699176080,2
45.497285,-122.639533,797825938,2
45.497816,-122.639187,-23328741,2
45.497798,-122.638983,-1451530974,2
45.504762,-122.634453,1894415353,8
45.504859,-122.634406,-1728224785,2
45.504861,-122.633992,-539220820,2
45.504861,-122.633966,-1713981000,2
45.495035,-122.651292,-1256769133,2
45.495003,-122.651292,1680073436,2
45.500066,-122.651073,-833522950,2
45.499914,-122.650980,-942109772,2
45.500944,-122.652809,758183892,2
45.526384,-122.681162,-1430018711,2
45.516904,-122.671994,1065583114,8
45.526366,-122.681305,-253746327,2
45.523152,-122.682248,-153939636,2
45.523188,-122.682249,1837767399,2
45.523483,-122.681223,768317372,2
45.525278,-122.681113,-1115709434,2
45.516730,-122.673133,-1778814729,2
45.516931,-122.673039,674978474,4
45.526210,-122.681324,1354398528,2
45.526042,-122.681295,1940349688,2
45.523157,-122.681209,-1943460906,16
45.523347,-122.681215,758322704,2
45.520283,-122.671946,1508635336,2
45.525729,-122.681139,-644723315,2
45.525686,-122.681137,1100476347,2
45.525632,-122.681138,1613908162,2
45.525514,-122.681120,-1045960577,2
45.523100,-122.681027,-964315943,2
45.504714,-122.629876,-1439300763,9
45.503327,-122.640082,-635360967,2
45.503326,-122.640017,-264475976,2
45.503327,-122.639887,-498978851,2
45.503319,-122.639859,1662653388,2
45.504848,-122.620579,1944132996,2
45.504852,-122.620610,-1745159318,2
45.504839,-122.619968,1647354852,2
45.504937,-122.619319,-603882820,2
45.505437,-122.619411,365082695,2
45.508105,-122.622879,1131864796,2
45.508122,-122.623055,-299289808,2
45.508235,-122.597994,-1315231064,8
45.508088,-122.611440,535822854,4
45.515094,-122.622623,-884377188,6
45.514362,-122.629382,-462949930,2
45.514361,-122.629290,-244479049,2
45.514359,-122.629200,-27553117,2
45.514375,-122.628986,561814965,2
45.514362,-122.628900,-1088584474,2
45.514372,-122.628866,882152995,2
45.514373,-122.628817,1959345957,2
45.514370,-122.628761,-1509243104,2
45.527787,-122.660157,-1807216690,10
45.485518,-122.650035,-2070495805,4
45.492336,-122.602025,-577937478,2
45.478410,-122.695852,-1159237766,6
45.478445,-122.694116,1549997055,1
45.478487,-122.692853,-630947099,6
45.471920,-122.685699,871100926,1
45.517278,-122.662558,905560311,1
45.476795,-122.704101,-1807538480,1
45.563474,-122.676250,-729826207,1
45.483345,-122.683113,-1848566915,6
45.522132,-122.651405,2006892694,1
45.535253,-122.638342,-1000562269,1
45.521920,-122.651843,1803874026,1
45.504674,-122.646041,-869216138,1
45.504737,-122.646311,-1545115754,1
45.495114,-122.827148,-1174228922,5
45.694077,-122.623913,-182303321,6
45.525126,-122.684003,435397346,4
45.522034,-122.683448,-954572761,2
45.517912,-122.800478,-1340186214,1
