lat,lon,frac,whole,uuid
45.513179,-122.631399,232.592531,"38",71ec93a1
45.55887,-122.766187,207.203656,"33",5efa32cf
45.588946,-122.775856,164.48404,"11",396764f7
45.492609,-122.825022,51.439443,"7",82eaeda4
45.493632,-122.730325,28.905215,"43","57268260"
45.52113,-122.647229,111.972016,"91",d8bb0bd6
45.541801,-122.641579,238.066836,"84",d8932a64
45.527437,-122.777807,52.37523,"32",ab532a5e
45.489354,-122.734119,38.77776,"72",a8dcb0fb
45.565119,-122.69312,199.120494,"3",7cda0fdb
45.516197,-122.696354,40.463762,"1",62e3ed58
45.546264,-122.815104,132.246178,"96","35d49826"
45.511167,-122.679095,222.445438,"67",e41835db
45.495822,-122.712257,25.199569,"48",c6abf647
45.478342,-122.713677,280.2871,"50",e1a53ed2
45.507803,-122.697143,67.059256,"21",e8c76ac2
45.60429,-122.627497,28.837711,"93",c8b981b6
45.56214,-122.724322,90.733118,"72",1c45d46f
45.53812,-122.625674,282.553677,"81",26835b50
45.462348,-122.68293,134.702011,"6",21771b66
45.529876,-122.793241,57.510727,"7",eba090e3
45.470705,-122.759722,156.285801,"25",a390fc47
45.53918,-122.714484,17.757387,"40",a01d376d
45.478116,-122.670431,351.079099,"75",cfd1d748
45.550576,-122.686722,103.407434,"85",a7b30b74
45.505714,-122.759018,20.391966,"79","0284e883"
45.552434,-122.650783,221.347096,"94",47586fd5
45.477773,-122.653463,227.662112,"98",f9e36696
45.513964,-122.709435,80.358435,"51","2684e848"
45.511188,-122.643207,8.919268,"19",d12f038d
45.550378,-122.761371,118.249514,"48",827ff9fb
45.439924,-122.72782,23.504396,"67",b2d27241
45.503721,-122.680115,97.372342,"19",c47ca9b0
45.542076,-122.698389,125.8102,"14",25a3d5ad
45.526048,-122.836908,168.389341,"79",59b6a87f
45.460349,-122.778583,144.531593,"26",ab1f32b2
45.515903,-122.780954,33.844709,"55",d002ea22
45.565499,-122.725567,32.5648,"78",b33c8b5c
45.492383,-122.641437,217.324442,"2",d181b19e
45.577873,-122.671017,172.145083,"45",16e6a2af
45.484304,-122.711979,209.371631,"56",e08612f2
45.483789,-122.836337,163.615464,"18",afee745f
45.407471,-122.732076,0.287653,"14",b97e1948
45.535133,-122.630387,119.766233,"24",d3d9e816
45.542037,-122.66007,42.012192,"96",bbbb9a8a
45.530935,-122.640259,196.850392,"10",fe2867c9
45.497613,-122.725864,64.635706,"57","28916458"
45.512722,-122.808677,63.549249,"18",433a9c2f
45.554724,-122.737478,137.366465,"60",8beebde9
45.65218,-122.73169,172.615075,"94",3c23d727
45.52684,-122.656158,59.551813,"21","79504535"
45.554167,-122.68459,118.124116,"4",dc963bcf
45.539475,-122.664513,121.402736,"28",97a3c240
45.535016,-122.741944,98.513885,"95",688243fc
45.527921,-122.636028,79.572823,"42",f45c541d
45.549762,-122.6683,77.193222,"62",f1268e41
45.439091,-122.633277,26.815389,"99",caed70f6
45.477291,-122.694525,25.195357,"70",313156a3
45.508437,-122.700495,38.754114,"12",0585b7df
45.567549,-122.672375,346.598524,"85",3d670ce1
45.542709,-122.824253,87.826804,"35","5727d233"
45.535873,-122.761341,187.643115,"63",d8fb48d5
45.481306,-122.798477,103.86785,"5",7fcbff1c
45.492919,-122.696973,95.29836,"31",c4b93082
45.516681,-122.788545,10.043682,"74",e27d47b6
45.539084,-122.729049,176.352775,"66",dd245cf6
45.58502,-122.628641,61.056148,"87",e0da2d10
45.592149,-122.638098,248.342024,"73",d0a43209
45.533237,-122.729472,28.225209,"13",e57933ce
45.562065,-122.681296,168.699209,"17",ac8c57c0
45.49045,-122.625824,70.44999,"15",8370ea28
45.559764,-122.748302,200.18109,"78",57a562cb
45.509197,-122.672307,4.234414,"24",af7ec993
45.525877,-122.689532,16.663045,"95",2f89827a
45.549641,-122.675851,2.820573,"74",67b788e1
45.452356,-122.625261,124.427897,"45",92d7f917
45.515352,-122.725693,12.466997,"10",868c23e0
45.532629,-122.845144,78.266257,"93",ab12cb05
45.445843,-122.663531,33.510711,"16",fd9a499d
45.551616,-122.870518,24.019521,"9",b1f8f1c9
45.549522,-122.758435,51.56556,"19",de4dc748
45.5078,-122.701622,160.738478,"27",c7725a12
45.474732,-122.745256,259.075837,"61",2e7adb92
45.512413,-122.816725,193.593798,"26",ad025b6a
45.496831,-122.744203,12.955803,"89",169f68be
45.545581,-122.765872,100.430368,"12",671ba2c6
45.538235,-122.771621,132.32603,"64",4d81b129
45.527756,-122.665191,210.416802,"31",93bded2a
45.519676,-122.675171,82.837926,"52",c9ea392a
45.516503,-122.671799,324.499853,"97",f6137e52
45.467549,-122.754922,15.589454,"73",c33f492e
45.522569,-122.642246,32.085139,"58",dbb17190
45.536726,-122.824302,150.172331,"95",1ba51eeb
45.519532,-122.775551,74.771617,"14",07f76419
45.453419,-122.707197,217.784135,"69",f42f6fb9
45.50715,-122.820394,115.018148,"91",fd2f96b5
45.601915,-122.694179,168.670792,"27",0b916fdc
45.59747,-122.667228,109.147671,"12",5c758885
45.449902,-122.642101,117.397073,"62",3dcd7407
45.546432,-122.632515,20.173469,"6",0631fb62
45.469017,-122.668801,80.305859,"50",213980ec
45.560737,-122.726046,78.942412,"66",ce5cd37c
45.571652,-122.768507,168.202174,"41",70ca5357
45.460294,-122.669737,113.837364,"11",f6c4fc17
45.504209,-122.691889,104.057383,"94",fa1d3338
45.538944,-122.659872,97.619817,"98",22d0be1c
45.487019,-122.65145,115.111008,"71",76c9df94
45.462675,-122.681082,26.35838,"35",c282317f
45.50258,-122.732272,57.143504,"2",b15154a4
45.523553,-122.710737,88.889494,"19",565ab8ef
45.534762,-122.650629,64.418578,"20",f0763e58
45.541869,-122.621207,107.998959,"42",4737579b
45.472268,-122.694144,76.800811,"54",1e467383
45.495559,-122.808406,22.229546,"84",ea8d3e45
45.460161,-122.807399,108.172708,"36",03078a35
45.446378,-122.732429,77.938027,"28",dabeecc5
45.521836,-122.681684,81.115235,"72",1151a3a1
45.528502,-122.680982,93.277957,"47",0a95ded3
45.455414,-122.623498,370.360396,"67",f48793f9
45.525552,-122.806442,108.375262,"99",2ba64a6c
45.606531,-122.728008,61.369542,"59","933938e5"
45.4783,-122.723475,39.523592,"60",1c491bb7
45.503901,-122.676468,42.325082,"53",9c559f2c
45.597213,-122.667541,164.945214,"95",3c3d8dba
45.542709,-122.705275,152.424728,"16",3bb2f60e
45.558173,-122.639572,144.216867,"1",c67492ca
45.476217,-122.632617,143.925882,"82",aaf4bd63
