lat,lon,frac,whole,uuid
45.513179,-122.631399,232.592531,38,71ec93a1
45.558870,-122.766187,207.203656,33,5efa32cf
45.588946,-122.775856,164.484040,11,396764f7
45.450732,-122.573285,23.353047,61,1e77cf67
45.492609,-122.825022,51.439443,7,82eaeda4
45.493632,-122.730325,28.905215,43,57268260
45.521130,-122.647229,111.972016,91,d8bb0bd6
45.541801,-122.641579,238.066836,84,d8932a64
45.527437,-122.777807,52.375230,32,ab532a5e
45.489354,-122.734119,38.777760,72,a8dcb0fb
45.565119,-122.693120,199.120494,3,7cda0fdb
45.516197,-122.696354,40.463762,1,62e3ed58
45.546264,-122.815104,132.246178,96,35d49826
45.511167,-122.679095,222.445438,67,e41835db
45.495822,-122.712257,25.199569,48,c6abf647
45.511323,-122.466089,140.995414,23,f4b599f6
45.478342,-122.713677,280.287100,50,e1a53ed2
45.507803,-122.697143,67.059256,21,e8c76ac2
45.604290,-122.627497,28.837711,93,c8b981b6
45.562140,-122.724322,90.733118,72,1c45d46f
45.549683,-122.575028,49.745762,2,77214a80
45.567003,-122.583945,86.579425,33,e2083881
45.538120,-122.625674,282.553677,81,26835b50
45.534584,-122.573843,92.255184,66,bb4c0216
45.462348,-122.682930,134.702011,6,21771b66
45.448506,-122.566848,49.857301,75,6ad0dbed
45.529876,-122.793241,57.510727,7,eba090e3
45.470705,-122.759722,156.285801,25,a390fc47
45.539180,-122.714484,17.757387,40,a01d376d
45.478116,-122.670431,351.079099,75,cfd1d748
45.550576,-122.686722,103.407434,85,a7b30b74
45.505714,-122.759018,20.391966,79,0284e883
45.552434,-122.650783,221.347096,94,47586fd5
45.477773,-122.653463,227.662112,98,f9e36696
45.513964,-122.709435,80.358435,51,2684e848
45.493130,-122.557706,178.273375,33,1e4d41b0
45.508451,-122.612965,20.468251,16,0f5dfdd8
45.511188,-122.643207,8.919268,19,d12f038d
45.550378,-122.761371,118.249514,48,827ff9fb
45.439924,-122.727820,23.504396,67,b2d27241
45.452835,-122.573854,73.190351,13,5eb09667
45.503721,-122.680115,97.372342,19,c47ca9b0
45.542076,-122.698389,125.810200,14,25a3d5ad
45.526048,-122.836908,168.389341,79,59b6a87f
45.460349,-122.778583,144.531593,26,ab1f32b2
45.493967,-122.587132,234.764611,38,42952011
45.515903,-122.780954,33.844709,55,d002ea22
45.565499,-122.725567,32.564800,78,b33c8b5c
45.578888,-122.563320,148.464051,2,2c088331
45.492383,-122.641437,217.324442,2,d181b19e
45.577873,-122.671017,172.145083,45,16e6a2af
45.484304,-122.711979,209.371631,56,e08612f2
45.483789,-122.836337,163.615464,18,afee745f
45.568201,-122.436056,87.798943,71,06ec83ee
45.561837,-122.570335,87.982226,87,0a80120b
45.407471,-122.732076,0.287653,14,b97e1948
45.483665,-122.549560,76.571124,26,2d945171
45.563421,-122.563265,47.675096,81,ce6f1ff3
45.535133,-122.630387,119.766233,24,d3d9e816
45.542037,-122.660070,42.012192,96,bbbb9a8a
45.530935,-122.640259,196.850392,10,fe2867c9
45.497613,-122.725864,64.635706,57,28916458
45.512722,-122.808677,63.549249,18,433a9c2f
45.554724,-122.737478,137.366465,60,8beebde9
45.652180,-122.731690,172.615075,94,3c23d727
45.526840,-122.656158,59.551813,21,79504535
45.554167,-122.684590,118.124116,4,dc963bcf
45.499359,-122.577216,38.434371,31,be613341
45.539475,-122.664513,121.402736,28,97a3c240
45.535016,-122.741944,98.513885,95,688243fc
45.527921,-122.636028,79.572823,42,f45c541d
45.549762,-122.668300,77.193222,62,f1268e41
45.516474,-122.579580,211.900111,2,2dc3d382
45.439091,-122.633277,26.815389,99,caed70f6
45.538869,-122.574448,162.891997,0,fe427c40
45.477291,-122.694525,25.195357,70,313156a3
45.493159,-122.547335,59.394403,66,7299dd68
45.508437,-122.700495,38.754114,12,0585b7df
45.456897,-122.554571,87.409350,1,796cb1ab
45.567549,-122.672375,346.598524,85,3d670ce1
45.542709,-122.824253,87.826804,35,5727d233
45.535873,-122.761341,187.643115,63,d8fb48d5
45.481306,-122.798477,103.867850,5,7fcbff1c
45.492919,-122.696973,95.298360,31,c4b93082
45.506578,-122.568544,36.768538,27,f2368bb4
45.473304,-122.533631,2.736280,86,722b79e3
45.516681,-122.788545,10.043682,74,e27d47b6
45.539084,-122.729049,176.352775,66,dd245cf6
45.585020,-122.628641,61.056148,87,e0da2d10
45.444750,-122.589333,37.669324,12,22036c97
45.592149,-122.638098,248.342024,73,d0a43209
45.533237,-122.729472,28.225209,13,e57933ce
45.562065,-122.681296,168.699209,17,ac8c57c0
45.490450,-122.625824,70.449990,15,8370ea28
45.559764,-122.748302,200.181090,78,57a562cb
45.509197,-122.672307,4.234414,24,af7ec993
45.521734,-122.589465,9.874739,98,5366ee7a
45.525877,-122.689532,16.663045,95,2f89827a
45.549641,-122.675851,2.820573,74,67b788e1
45.515178,-122.612342,104.083065,92,e6752c56
45.452356,-122.625261,124.427897,45,92d7f917
45.515352,-122.725693,12.466997,10,868c23e0
45.532629,-122.845144,78.266257,93,ab12cb05
45.445843,-122.663531,33.510711,16,fd9a499d
45.551616,-122.870518,24.019521,9,b1f8f1c9
45.549522,-122.758435,51.565560,19,de4dc748
45.507800,-122.701622,160.738478,27,c7725a12
45.474732,-122.745256,259.075837,61,2e7adb92
45.512413,-122.816725,193.593798,26,ad025b6a
45.496831,-122.744203,12.955803,89,169f68be
45.552695,-122.592661,19.830933,20,c97e0513
45.545581,-122.765872,100.430368,12,671ba2c6
45.538235,-122.771621,132.326030,64,4d81b129
45.527756,-122.665191,210.416802,31,93bded2a
45.519676,-122.675171,82.837926,52,c9ea392a
45.516503,-122.671799,324.499853,97,f6137e52
45.467549,-122.754922,15.589454,73,c33f492e
45.596802,-122.529587,157.221661,59,58b15723
45.522569,-122.642246,32.085139,58,dbb17190
45.536726,-122.824302,150.172331,95,1ba51eeb
45.469929,-122.597955,122.753999,23,a04d70a6
45.509786,-122.567471,4.582734,0,30029fde
45.535094,-122.608866,113.472423,44,c52116fa
45.519532,-122.775551,74.771617,14,07f76419
45.453419,-122.707197,217.784135,69,f42f6fb9
45.558134,-122.559175,232.204389,78,b499f333
45.507150,-122.820394,115.018148,91,fd2f96b5
45.601915,-122.694179,168.670792,27,0b916fdc
45.512160,-122.617348,38.792015,14,f884ad0d
45.597470,-122.667228,109.147671,12,5c758885
45.449902,-122.642101,117.397073,62,3dcd7407
45.546432,-122.632515,20.173469,6,0631fb62
45.469017,-122.668801,80.305859,50,213980ec
45.560737,-122.726046,78.942412,66,ce5cd37c
45.534966,-122.618941,161.868987,42,f9bcd678
45.553341,-122.613401,61.900022,8,25854a7a
45.561590,-122.519667,6.212049,56,129519fd
45.560703,-122.593679,171.465136,54,2c1354af
45.571652,-122.768507,168.202174,41,70ca5357
45.460294,-122.669737,113.837364,11,f6c4fc17
45.440483,-122.587511,202.413067,9,5f567c7d
45.504209,-122.691889,104.057383,94,fa1d3338
45.538944,-122.659872,97.619817,98,22d0be1c
45.487019,-122.651450,115.111008,71,76c9df94
45.462675,-122.681082,26.358380,35,c282317f
45.502580,-122.732272,57.143504,2,b15154a4
45.482214,-122.564804,123.835007,90,06205d3d
45.532043,-122.593000,114.756836,95,852b91aa
45.529060,-122.614694,167.680223,90,9c9567f6
45.523553,-122.710737,88.889494,19,565ab8ef
45.534762,-122.650629,64.418578,20,f0763e58
45.541869,-122.621207,107.998959,42,4737579b
45.528903,-122.567347,75.076054,89,93589843
45.523614,-122.544479,193.087125,92,fe16724e
45.472268,-122.694144,76.800811,54,1e467383
45.481691,-122.614419,109.289667,91,ad22a8b8
45.605632,-122.576772,87.101225,47,8592f81f
45.495559,-122.808406,22.229546,84,ea8d3e45
45.460161,-122.807399,108.172708,36,03078a35
45.542361,-122.573434,230.427635,86,e567536a
45.446378,-122.732429,77.938027,28,dabeecc5
45.521836,-122.681684,81.115235,72,1151a3a1
45.492647,-122.567737,27.256321,69,2917af57
45.528502,-122.680982,93.277957,47,0a95ded3
45.455414,-122.623498,370.360396,67,f48793f9
45.501504,-122.564667,160.513649,49,41fb3a69
45.525552,-122.806442,108.375262,99,2ba64a6c
45.606531,-122.728008,61.369542,59,933938e5
45.478300,-122.723475,39.523592,60,1c491bb7
45.503901,-122.676468,42.325082,53,9c559f2c
45.597213,-122.667541,164.945214,95,3c3d8dba
45.542709,-122.705275,152.424728,16,3bb2f60e
45.494406,-122.601655,72.189511,43,d93bdcd5
45.466855,-122.618023,322.063125,71,33a288aa
45.501161,-122.533136,56.454204,51,58267438
45.558173,-122.639572,144.216867,1,c67492ca
45.446997,-122.592069,102.812241,44,0b499237
45.480653,-122.553812,175.071230,44,d5eb546c
45.476217,-122.632617,143.925882,82,aaf4bd63
45.589563,-122.783039,49.835753,14,42c1858f
45.549456,-122.781991,18.553086,95,de1b5a78
45.506252,-122.732334,34.111476,35,b6eedc28
45.482063,-122.647308,97.213322,7,15cf4be2
45.504467,-122.739588,232.286418,47,ea774aec
45.564153,-122.783166,7.856502,19,cf5bbcbc
45.542567,-122.639075,167.753396,69,bbbba965
45.510058,-122.628885,240.511016,77,61062991
45.517183,-122.561411,112.069553,17,2d4dbc39
45.514152,-122.781956,31.426359,48,4a6eabfc
45.557877,-122.690848,60.364102,46,84f85887
45.553351,-122.712229,48.744290,24,b49cef0f
45.500383,-122.661442,170.852216,10,fc60fbd9
45.463103,-122.641105,9.316407,32,4c9091d4
45.513652,-122.626016,26.904529,61,301d8ce0
45.534891,-122.768438,77.630945,34,9bdc14db
45.571233,-122.538316,26.446235,85,05632180
45.586927,-122.681612,16.137723,70,74c3787c
45.566423,-122.659666,150.487136,48,b75129f7
45.608934,-122.596006,38.524722,3,88161424
45.537843,-122.789023,40.872510,61,77d2184b
45.544715,-122.728485,166.603657,17,d126da84
45.537774,-122.625339,248.256602,74,17260487
45.498535,-122.860092,79.780517,45,57244cb1
45.525565,-122.672277,128.476721,56,3ff53e12
45.555542,-122.632020,112.679322,14,37806659
45.532489,-122.777493,96.456949,42,dacac0e1
45.521823,-122.633187,125.128515,60,86b747a9
45.452979,-122.772409,67.379125,76,8c835a86
45.506383,-122.531167,120.196533,65,e15b5602
45.536065,-122.738229,78.498678,48,d304289f
45.510981,-122.659007,22.566563,14,1ba20cfb
45.487235,-122.588455,19.631281,34,679a371f
45.493296,-122.704110,138.138147,67,026b4631
45.502998,-122.681777,77.042700,29,840ae812
45.477854,-122.613892,292.897245,46,286b5c5e
45.466549,-122.677210,206.631105,22,d10f2de0
45.484858,-122.773648,109.511696,32,f266810b
45.558627,-122.616414,46.308187,9,227254ed
45.536790,-122.563729,48.834878,22,6b3bad47
45.425677,-122.576962,17.746544,22,3d8eca8a
45.482329,-122.783048,102.025785,47,e96f49e1
45.448902,-122.593862,8.094580,94,5aabd91b
45.558017,-122.744771,19.187455,5,3873c0ca
45.544439,-122.715171,67.738739,66,ce4f0482
45.561560,-122.633109,141.156114,61,82940589
45.514851,-122.675316,14.051275,62,da56e1c6
45.557416,-122.661216,125.453065,18,a1a10b02
45.653820,-122.743976,229.837695,59,25db7122
45.519228,-122.681999,99.450531,8,8de6200f
45.502377,-122.553929,190.564559,64,534a1f29
45.581107,-122.662178,144.111851,73,37032811
45.520773,-122.673469,19.421568,17,1599309a
45.551950,-122.745840,83.855338,5,bf936c3b
45.534485,-122.639789,163.213058,39,c4fe50f3
45.548850,-122.548994,147.080562,44,84f700c9
45.536479,-122.729688,174.747811,56,56b8ede0
45.495632,-122.633942,94.880381,1,a7e04dc6
45.477591,-122.622576,137.295570,60,d17a430d
45.533027,-122.689068,25.741721,61,45bdca4f
45.538618,-122.651407,124.943327,91,487911ab
45.472992,-122.550245,101.165940,9,924d23e2
45.531251,-122.700659,18.752996,7,2009c85b
45.502699,-122.612299,10.112683,67,838f0908
45.542968,-122.761619,91.059754,52,d97fbce9
45.490868,-122.553264,244.871002,2,e9b7fe94
45.575654,-122.564950,251.044027,96,c46dbd53
45.589610,-122.615433,235.935829,29,311faa76
45.544010,-122.730157,146.070588,14,d28fe913
